Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Jalen Richmond (23968893),Jalen Richmond,23968893,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Cole Wright (23968896),Cole Wright,23968896,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Zamondre Merriweather (23968899),Zamondre Merriweather,23968899,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Hunter Steacker (23968902),Hunter Steacker,23968902,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Elijah Spaulding (23968905),Elijah Spaulding,23968905,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Duece Jones (23968908),Duece Jones,23968908,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Michael Buckley (23968911),Michael Buckley,23968911,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Keyonta Lanier (23968914),Keyonta Lanier,23968914,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,9.85
WR,Zoe'Coyrick Roberts (23968917),Zoe'Coyrick Roberts,23968917,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Jah'Mar Sanders (23968920),Jah'Mar Sanders,23968920,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Tristan White (23968923),Tristan White,23968923,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Sir'Christopher Drennan (23968926),Sir'Christopher Drennan,23968926,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Unique Steele (23968929),Unique Steele,23968929,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
