"","year","team","week","tpp","L3_tpp"
"4168",2019,"West Virginia",12,25.8965517241379,25.6615342704525
"4169",2019,"Akron",12,28.125,25.9272211084606
"4170",2019,"LSU",12,24.3333333333333,25.2875779152282
"4171",2019,"California",12,27.672131147541,26.7627671103631
"4172",2019,"Army",12,27.5,30.3539726672257
"4173",2019,"South Alabama",12,27.6615384615385,26.4900121535756
"4174",2019,"Notre Dame",12,27.6037735849057,23.2857945707261
"4175",2019,"Minnesota",12,27.1594202898551,32.0432696854819
"4176",2019,"Ball State",12,25.4027777777778,24.6984015700906
"4177",2019,"Florida",12,30.1935483870968,26.2676481127568
"4178",2019,"Louisiana Tech",12,23.0845070422535,26.032339103792
"4179",2019,"Northwestern",12,27.5692307692308,25.0498273091174
"4180",2019,"Tulane",12,21.9166666666667,25.1251107225792
"4181",2019,"Michigan",12,26.7910447761194,27.2835506262507
"4182",2019,"South Carolina",12,17.4761904761905,22.5497610119546
"4183",2019,"New Mexico",12,28.5223880597015,23.5371893364851
"4184",2019,"Houston",12,31.7307692307692,27.8224005598946
"4185",2019,"Iowa",12,30.7407407407407,27.9383103801919
"4186",2019,"Indiana",12,26.7361111111111,29.2643009281355
"4187",2019,"Navy",12,27.7532467532468,29.1915204678363
"4188",2019,"Air Force",12,30.2786885245902,31.8000307881773
"4189",2019,"Colorado State",12,23.6891891891892,26.5122707052532
"4190",2019,"Boise State",12,25.5909090909091,27.2197317297615
"4191",2019,"Syracuse",12,27.7627118644068,22.2204188355504
"4192",2019,"Georgia Tech",12,30.375,27.3950462962963
"4193",2019,"Nebraska",12,25.3333333333333,23.4020494348405
"4194",2019,"Louisville",12,30.4333333333333,29.3347077652911
"4195",2019,"Kentucky",12,32.2083333333333,33.9710398083689
"4196",2019,"Coastal Carolina",12,27.4777777777778,26.3553094540658
"4197",2019,"Texas",12,24.9242424242424,23.6901025259179
"4198",2019,"USC",12,30.8387096774194,24.5506530750684
"4199",2019,"Arkansas State",12,19.7719298245614,24.9139509381728
"4200",2019,"Oregon State",12,28.1891891891892,25.924068627451
"4201",2019,"Buffalo",12,29.972602739726,28.1209258878377
"4202",2019,"Middle Tennessee",12,23.9016393442623,25.8623840554953
"4203",2019,"Memphis",12,26.3513513513514,26.2325760250813
"4204",2019,"Wyoming",12,25.2025316455696,29.4354057430726
"4205",2019,"Stanford",12,26.1,29.5056144854532
"4206",2019,"Oregon",12,28.865671641791,24.3909466902425
"4207",2019,"San Diego State",12,25.7738095238095,28.992146263911
"4208",2019,"Texas State",12,24.1267605633803,27.0261622919883
"4209",2019,"UCLA",12,25.1917808219178,26.3173184904224
"4210",2019,"Arizona State",12,24.8196721311475,25.8848743748512
"4211",2019,"Michigan State",12,30.0833333333333,24.9120735339802
"4212",2019,"Troy",12,24.1923076923077,21.8455979146713
"4213",2019,"UAB",12,30.7796610169492,30.2293229872025
"4214",2019,"Baylor",12,21.7115384615385,26.2216516902011
"4215",2019,"Iowa State",12,24.746835443038,27.8152251262734
"4216",2019,"Alabama",12,27.95,27.6841004836948
"4217",2019,"Ohio State",12,21.974358974359,25.5015944896264
"4218",2019,"Texas A&M",12,31.6329113924051,29.5545841650443
"4219",2019,"Washington State",12,25.1111111111111,25.4360841898829
