"","player","player_id","position","team_name","player_game_count","caught_percent","first_downs","franchise_id","fumbles","longest","receptions","targets","touchdowns","yards","yards_per_reception","week","year","team_targets","rec_usage","season_team_targets","season_targets","season_usage","dk_pts","fd_pts","string","L3_rec_usage"
"61","D'vonte Price",55158,"HB","FIU",1,100,1,166,0,8,2,2,0,14,7,2,2018,30,0.0666666666666667,371,19,0.0512129380053908,3.4,2.4,3,0.037037037037037
"62","Malik Davis",57196,"HB","FLORIDA",1,100,1,163,0,19,2,2,0,25,12.5,2,2018,35,0.0571428571428571,331,4,0.0120845921450151,4.5,3.5,2,0.0384615384615385
"63","Kylin Hill",57306,"HB","MISS STATE",1,50,1,227,0,16,1,2,1,16,16,2,2018,25,0.08,299,28,0.0936454849498328,8.6,8.1,1,0.103448275862069
"64","J.K. Dobbins",57366,"HB","OHIO STATE",1,100,1,260,0,11,2,2,0,18,9,2,2018,33,0.0606060606060606,546,30,0.0549450549450549,3.8,2.8,1,0.0588235294117647
"65","DK Billingsley",57432,"HB","TROY",1,50,0,318,0,5,1,2,0,5,5,2,2018,38,0.0526315789473684,355,3,0.00845070422535211,1.5,1,2,0.117647058823529
"66","Shamari Brooks",61855,"HB","TULSA",1,100,1,320,0,16,2,2,0,16,8,2,2018,23,0.0869565217391304,289,9,0.0311418685121107,3.6,2.6,1,0.05
"67","Darius Pinnix Jr.",57192,"HB","E CAROLINA",1,100,1,156,0,10,1,1,0,10,10,2,2018,32,0.03125,518,12,0.0231660231660232,2,1.5,3,0.0158730158730159
"68","D'Andre Swift",57212,"HB","GEORGIA",1,100,1,173,0,5,1,1,0,5,5,2,2018,19,0.0526315789473684,342,39,0.114035087719298,1.5,1,1,0.192307692307692
"69","Mike Epstein",57237,"HB","ILLINOIS",1,100,1,187,0,5,1,1,0,5,5,2,2018,23,0.0434782608695652,306,14,0.0457516339869281,1.5,1,2,0.0416666666666667
"70","Tyler King",57284,"HB","MARSHALL",1,100,0,214,0,5,1,1,0,5,5,2,2018,36,0.0277777777777778,401,9,0.0224438902743142,1.5,1,2,0.0857142857142857
"71","Tayon Fleet-Davis",57290,"HB","MARYLAND",1,100,0,215,0,2,1,1,0,2,2,2,2018,16,0.0625,220,4,0.0181818181818182,1.2,0.7,1,0.125
"72","Damarea Crockett",27436,"HB","MISSOURI",1,100,1,229,0,32,1,1,0,32,32,2,2018,43,0.0232558139534884,424,14,0.0330188679245283,4.2,3.7,1,0.0294117647058824
"73","Darrell Henderson",41193,"HB","MEMPHIS",1,100,1,218,0,18,1,1,0,18,18,2,2018,25,0.04,395,23,0.0582278481012658,2.8,2.3,1,0.0263157894736842
"74","Chris Evans",27303,"HB","MICHIGAN",1,100,0,222,0,0,1,1,0,0,0,2,2018,16,0.0625,325,19,0.0584615384615385,1,0.5,2,0.0882352941176471
"75","Terelle West",40835,"HB","MIDDLE TN",1,100,0,224,0,4,1,1,0,4,4,2,2018,33,0.0303030303030303,463,23,0.0496760259179266,1.4,0.9,2,0.0857142857142857
"76","Maurice Thomas",14213,"HB","MIAMI OH",1,100,0,221,0,0,1,1,0,0,0,2,2018,38,0.0263157894736842,334,14,0.0419161676646707,1,0.5,2,0.0857142857142857
"77","Darrynton Evans",40692,"HB","APP STATE",1,100,0,108,0,3,1,1,0,3,3,2,2018,15,0.0666666666666667,304,19,0.0625,1.3,0.8,2,0.0789473684210526
"78","Israel Tucker",40566,"HB","LA TECH",1,100,0,208,0,4,1,1,0,4,4,2,2018,42,0.0238095238095238,443,14,0.0316027088036117,1.4,0.9,2,0.0344827586206897
"79","Miles Sanders",40555,"HB","PENN STATE",1,100,1,266,0,6,1,1,0,6,6,2,2018,30,0.0333333333333333,351,32,0.0911680911680912,1.6,1.1,1,0.0714285714285714
"80","Reggie Corbin",26692,"HB","ILLINOIS",1,100,1,187,0,14,1,1,0,14,14,2,2018,23,0.0434782608695652,306,21,0.0686274509803922,2.4,1.9,1,0.0833333333333333
"81","Kennedy McKoy",40095,"HB","W VIRGINIA",1,100,1,343,0,11,1,1,0,11,11,2,2018,29,0.0344827586206897,433,20,0.046189376443418,2.1,1.6,3,0.0294117647058824
"82","Keith Harrington",39563,"HB","WASH STATE",1,100,1,341,0,6,1,1,0,6,6,2,2018,52,0.0192307692307692,633,9,0.014218009478673,1.6,1.1,3,0.132075471698113
"83","Juwan Washington",39354,"HB","S DIEGO ST",1,100,1,284,0,15,1,1,0,15,15,2,2018,26,0.0384615384615385,278,15,0.0539568345323741,2.5,2,1,0.153846153846154
"84","Fred Holly III",38662,"HB","HAWAII",1,100,1,180,0,21,1,1,0,21,21,2,2018,33,0.0303030303030303,492,6,0.0121951219512195,3.1,2.6,1,0.0238095238095238
"85","Gerold Bright",34612,"HB","UTAH ST",1,100,0,329,0,3,1,1,0,3,3,2,2018,30,0.0333333333333333,453,26,0.0573951434878587,1.3,0.8,1,0.0714285714285714
