"","opp_team","week","opp_sacks","year","opp_hur","team","L3_sacks","L3_hurries"
"4495","New Mexico",4,2,2021,0,"UTEP",2.25,2
"4496","North Carolina",4,1,2021,0,"Georgia Tech",1.5,3.75
"4497","Northern Illinois",4,0,2021,2,"Maine",1.5,3.5
"4498","North Texas",4,3,2021,3,"Louisiana Tech",2,1
"4499","Northwestern",4,4,2021,3,"Ohio",1.5,3
"4500","Notre Dame",4,1,2021,5,"Wisconsin",3.5,4.75
"4501","Ohio",4,0,2021,2,"Northwestern",1,2.75
"4502","Ohio State",4,9,2021,2,"Akron",1.75,3.25
"4503","Oklahoma",4,1,2021,3,"West Virginia",4,3.25
"4504","Oklahoma State",4,2,2021,9,"Kansas State",3.25,5.25
"4505","Oregon",4,1,2021,4,"Arizona",2.75,1
"4506","Oregon State",4,2,2021,1,"USC",1.75,5.5
"4507","Penn State",4,3,2021,2,"Villanova",1.25,2.5
"4508","Pittsburgh",4,3,2021,13,"New Hampshire",4,4.75
"4509","Purdue",4,2,2021,0,"Illinois",1.5,2.75
"4510","Rice",4,2,2021,3,"Texas Southern",2,2.25
"4511","Rutgers",4,0,2021,1,"Michigan",3.75,2.25
"4512","San Diego State",4,2,2021,5,"Towson",3.5,3.5
"4513","San José State",4,4,2021,0,"Western Michigan",2.25,1.75
"4514","SMU",4,2,2021,1,"TCU",1.75,4.25
"4515","South Carolina",4,0,2021,3,"Kentucky",2,1.25
"4516","Southern Mississippi",4,2,2021,1,"Alabama",2.25,1.75
"4517","South Florida",4,0,2021,1,"BYU",1.25,2
"4518","Stanford",4,4,2021,4,"UCLA",1,1.25
"4519","Syracuse",4,6,2021,0,"Liberty",3.5,1
"4520","TCU",4,0,2021,4,"SMU",1.75,2.75
"4521","Temple",4,2,2021,0,"Wagner",1.5,0.75
"4522","Tennessee",4,1,2021,4,"Florida",2.5,3.25
"4523","Texas",4,2,2021,2,"Texas Tech",2,1
"4524","Texas A&M",4,2,2021,3,"Arkansas",3,3.5
"4525","Texas State",4,2,2021,5,"Eastern Michigan",0.5,1.5
"4526","Texas Tech",4,1,2021,0,"Texas",3,5.25
"4527","Toledo",4,4,2021,0,"Ball State",2.625,3.5
"4528","Troy",4,2,2021,2,"Louisiana Monroe",5.25,0.5
"4529","Tulane",4,3,2021,0,"UAB",2.75,2.5
"4530","Tulsa",4,6,2021,2,"Arkansas State",2,2.25
"4531","UAB",4,0,2021,0,"Tulane",0.75,3.25
"4532","UCLA",4,2,2021,1,"Stanford",4,2.75
"4533","UMass",4,0,2021,1,"Coastal Carolina",0.75,0.25
"4534","UNLV",4,1,2021,0,"Fresno State",1.25,0
"4535","USC",4,0,2021,0,"Oregon State",1.75,0.25
"4536","Utah",4,8,2021,0,"Washington State",1.75,1.25
"4537","Utah State",4,2,2021,4,"Boise State",1.25,1.75
"4538","UTEP",4,1,2021,7,"New Mexico",3.5,3.75
"4539","UT San Antonio",4,2,2021,1,"Memphis",2,5.5
"4540","Vanderbilt",4,0,2021,1,"Georgia",0.75,1.75
"4541","Virginia",4,0,2021,2,"Wake Forest",2.5,2.5
"4542","Virginia Tech",4,2,2021,2,"Richmond",2.75,3
"4543","Wake Forest",4,6,2021,1,"Virginia",2.75,2.25
"4544","Washington",4,3,2021,0,"California",1,0.75
"4545","Washington State",4,1,2021,0,"Utah",1.5,3.5
"4546","Western Kentucky",4,3,2021,3,"Indiana",1.25,5
"4547","Western Michigan",4,8,2021,5,"San José State",2.75,2.5
"4548","West Virginia",4,4,2021,3,"Oklahoma",2.25,1.75
"4549","Wyoming",4,3,2021,15,"Connecticut",3,0
"4550","Wisconsin",4,6,2021,3,"Notre Dame",1.5,4.5
"4551","Connecticut",4,0,2021,1,"Wyoming",2.75,1.25
"4552","New Mexico State",4,3,2021,2,"Hawai'i",2,3.25
"4553","Old Dominion",4,0,2021,2,"Buffalo",2,0.75
