Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81856-114106,WR,Dylan,Dylan Wright,Wright,6.066666920979817,3,5400,MINN@ILL,MINN,ILL,,,,,,WR/Super FLEX
81856-152009,RB,Deon,Deon Silas,Silas,5.400000095367432,4,5400,ISU@TEX,ISU,TEX,,,,,,RB/Super FLEX
81856-154184,TE,Xavier,Xavier Gravette,Gravette,5.866666793823242,3,5400,ODU@CCU,CCU,ODU,,,,,,WR/Super FLEX
81856-109309,QB,Jarrett,Jarrett Guest,Guest,4.789999961853027,2,5400,ODU@CCU,CCU,ODU,,,,,,QB/Super FLEX
81856-103187,RB,Roschon,Roschon Johnson,Johnson,8.766666412353516,6,5400,ISU@TEX,TEX,ISU,,,,,,RB/Super FLEX
81856-85842,TE,Brevyn,Brevyn Spann-Ford,Spann-Ford,5.275000095367432,4,5400,MINN@ILL,MINN,ILL,,,,,,WR/Super FLEX
81856-155551,WR,Pat,Pat Bryant,Bryant,7.324999809265137,4,5400,MINN@ILL,ILL,MINN,,,,,,WR/Super FLEX
81856-153779,WR,Jordan,Jordan Bly,Bly,3.3400001525878906,5,5300,ODU@CCU,ODU,CCU,,,,,,WR/Super FLEX
81856-168172,RB,Jovantae,Jovantae Barnes,Barnes,8.15999984741211,5,5300,KU@OU,OU,KU,,,,,,RB/Super FLEX
81856-151938,QB,Luke,Luke Altmyer,Altmyer,0.949999988079071,2,5300,AUB@MISS,MISS,AUB,,,,,,QB/Super FLEX
81856-87668,WR,Shedrick,Shedrick Jackson,Jackson,3.866666793823242,3,5300,AUB@MISS,AUB,MISS,,,,,,WR/Super FLEX
81856-167552,TE,Dae'Quan,Dae'Quan Wright,Wright,6.150000095367432,2,5300,MIA@VT,VT,MIA,,,,,,WR/Super FLEX
81856-87711,TE,John Samuel,John Samuel Shenker,Shenker,4.520000076293945,5,5300,AUB@MISS,AUB,MISS,,,,,,WR/Super FLEX
81856-152259,QB,Jake,Jake Garcia,Garcia,2.930000066757202,2,5300,MIA@VT,MIA,VT,,,,,,QB/Super FLEX
81856-152593,WR,Harrison,Harrison Wallace III,Wallace III,4.033333460489909,3,5200,PSU@MICH,PSU,MICH,,,,,,WR/Super FLEX
81856-129429,RB,Sevion,Sevion Morrison,Morrison,3.566666603088379,6,5200,KU@OU,KU,OU,,,,,,RB/Super FLEX
81856-129568,RB,Jaylan,Jaylan Knighton,Knighton,3.674999952316284,4,5200,MIA@VT,MIA,VT,,,,,,RB/Super FLEX
81856-154191,RB,Max,Max Balthazar,Balthazar,3.875,4,5200,ODU@CCU,CCU,ODU,,,,,,RB/Super FLEX
81856-85618,WR,Sean,Sean Shaw Jr.,Shaw Jr.,4.949999809265137,4,5200,ISU@TEX,ISU,TEX,,,,,,WR/Super FLEX
81856-86671,WR,Drake,Drake Stoops,Stoops,4.659999847412109,5,5200,KU@OU,OU,KU,,,,,,WR/Super FLEX
81856-166892,QB,Drew,Drew Allar,Allar,3.755000114440918,4,5200,PSU@MICH,PSU,MICH,,,,,,QB/Super FLEX
81856-154964,WR,Tanaka,Tanaka Scott,Scott,2.2600000381469725,5,5100,KU@OU,KU,OU,,,,,,WR/Super FLEX
81856-112218,RB,Keshawn,Keshawn Wicks,Wicks,4,5,5100,ODU@CCU,ODU,CCU,,,,,,RB/Super FLEX
81856-137966,WR,A.J.,A.J. Henning,Henning,3.1799999237060548,5,5100,PSU@MICH,MICH,PSU,,,,,,WR/Super FLEX
81856-110380,RB,Keilan,Keilan Robinson,Robinson,6.166666666666667,6,5100,ISU@TEX,TEX,ISU,,,,,,RB/Super FLEX
81856-152578,WR,Andrel,Andrel Anthony,Anthony,2.5,4,5000,PSU@MICH,MICH,PSU,,,,,,WR/Super FLEX
81856-141426,WR,Malcolm,Malcolm Johnson Jr.,Johnson Jr.,3.799999952316284,1,5000,AUB@MISS,AUB,MISS,P,Undisclosed,,,,WR/Super FLEX
81856-71803,WR,Clay,Clay Geary,Geary,4.75,2,5000,MINN@ILL,MINN,ILL,,,,,,WR/Super FLEX
81856-87267,QB,Bryce,Bryce Carpenter,Carpenter,0.550000011920929,2,5000,ODU@CCU,CCU,ODU,,,,,,QB/Super FLEX
81856-94504,QB,D.J.,D.J. Mack Jr.,Mack Jr.,0.20000000298023224,1,5000,ODU@CCU,ODU,CCU,,,,,,QB/Super FLEX
81856-92468,WR,Jadan,Jadan Blue,Blue,1.3666666348775227,3,5000,MIA@VT,VT,MIA,,,,,,WR/Super FLEX
81856-137578,WR,Isiah,Isiah Paige,Paige,3.2999998728434243,3,5000,ODU@CCU,ODU,CCU,,,,,,WR/Super FLEX
81856-135807,RB,Daniel,Daniel Hishaw Jr.,Hishaw Jr.,14.180000305175781,5,5000,KU@OU,KU,OU,O,Undisclosed,,,,RB/Super FLEX
81856-167579,QB,Holden,Holden Geriner,Geriner,-1.3799999952316284,1,5000,AUB@MISS,AUB,MISS,,,,,,QB/Super FLEX
81856-103068,RB,Torry,Torry Locklin,Locklin,4.333333333333333,3,5000,KU@OU,KU,OU,,,,,,RB/Super FLEX
81856-111325,RB,Ulysses,Ulysses Bentley IV,Bentley IV,10.600000381469727,2,5000,AUB@MISS,MISS,AUB,O,Wrist,,,,RB/Super FLEX
81856-103382,QB,Cade,Cade McNamara,McNamara,2.3999999364217124,3,5000,PSU@MICH,MICH,PSU,O,Undisclosed,,,,QB/Super FLEX
81856-85995,RB,Jalen,Jalen Holston,Holston,3.1799999237060548,5,5000,MIA@VT,VT,MIA,,,,,,RB/Super FLEX
81856-178158,WR,Colbie,Colbie Young,Young,11.800000190734863,1,5000,MIA@VT,MIA,VT,,,,,,WR/Super FLEX
81856-103439,QB,Cole,Cole Kramer,Kramer,0.7549999952316284,4,4900,MINN@ILL,MINN,ILL,,,,,,QB/Super FLEX
81856-131297,TE,DeShawn,DeShawn Hanika,Hanika,6.900000095367432,2,4900,ISU@TEX,ISU,TEX,,,,,,WR/Super FLEX
81856-111994,TE,Nick,Nick Gallo,Gallo,3.9000000953674316,4,4900,MIA@VT,VT,MIA,,,,,,WR/Super FLEX
81856-112037,WR,Casey,Casey Washington,Washington,2.4749999046325684,4,4900,MINN@ILL,ILL,MINN,,,,,,WR/Super FLEX
81856-137864,WR,Ze'Vian,Ze'Vian Capers,Capers,2.0999999046325684,1,4900,AUB@MISS,AUB,MISS,,,,,,WR/Super FLEX
81856-158979,WR,Casey,Casey Cain,Cain,2.825000047683716,4,4800,ISU@TEX,TEX,ISU,,,,,,WR/Super FLEX
81856-134651,WR,Daniel,Daniel Jackson,Jackson,2.299999952316284,2,4800,ISU@TEX,ISU,TEX,,,,,,WR/Super FLEX
81856-103063,TE,Easton,Easton Dean,Dean,5.349999904632568,2,4800,ISU@TEX,ISU,TEX,,,,,,WR/Super FLEX
81856-174856,WR,Hank,Hank Beatty,Beatty,1.433333396911621,3,4800,MINN@ILL,ILL,MINN,,,,,,WR/Super FLEX
81856-89902,QB,Isaiah,Isaiah Spencer,Spencer,0.949999988079071,2,4800,ODU@CCU,ODU,CCU,,,,,,QB/Super FLEX
81856-152681,WR,Le'Meke,Le'Meke Brockington,Brockington,1.5,3,4700,MINN@ILL,MINN,ILL,,,,,,WR/Super FLEX
81856-167101,TE,Jaleel,Jaleel Skinner,Skinner,2.7666667302449546,3,4700,MIA@VT,MIA,VT,,,,,,WR/Super FLEX
81856-174393,WR,Gavin,Gavin Freeman,Freeman,3.7999998728434243,3,4700,KU@OU,OU,KU,,,,,,WR/Super FLEX
81856-177617,RB,CJ,CJ Stokes,Stokes,4.300000190734863,4,4700,PSU@MICH,MICH,PSU,,,,,,RB/Super FLEX
81856-134659,WR,Aidan,Aidan Bitter,Bitter,2.299999952316284,2,4700,ISU@TEX,ISU,TEX,,,,,,WR/Super FLEX
81856-156209,WR,JJ,JJ Henry,Henry,1.6749999523162842,4,4700,AUB@MISS,MISS,AUB,,,,,,WR/Super FLEX
81856-137987,RB,Reggie,Reggie Love III,Love III,3.7599998474121095,5,4700,MINN@ILL,ILL,MINN,,,,,,RB/Super FLEX
81856-154506,RB,Eli,Eli Sanders,Sanders,2.125,4,4700,ISU@TEX,ISU,TEX,,,,,,RB/Super FLEX
81856-139446,WR,Tyler,Tyler Roberts,Roberts,4.866666793823242,3,4600,ODU@CCU,CCU,ODU,,,,,,WR/Super FLEX
81856-112174,TE,Casey,Casey Kelly,Kelly,0.800000011920929,1,4600,AUB@MISS,MISS,AUB,,,,,,WR/Super FLEX
81856-86593,QB,Alan,Alan Bowman,Bowman,3.200000047683716,2,4600,PSU@MICH,MICH,PSU,,,,,,QB/Super FLEX
81856-152148,TE,Gunnar,Gunnar Helm,Helm,1.5,3,4600,ISU@TEX,TEX,ISU,,,,,,WR/Super FLEX
81856-155419,RB,Chance,Chance Black,Black,1.7799999237060546,5,4600,MIA@VT,VT,MIA,,,,,,RB/Super FLEX
81856-128810,TE,Theo,Theo Johnson,Johnson,1.4500000476837158,2,4600,PSU@MICH,PSU,MICH,,,,,,WR/Super FLEX
81856-72534,WR,Jonah,Jonah Morris,Morris,2.700000047683716,2,4600,MINN@ILL,ILL,MINN,,,,,,WR/Super FLEX
81856-166895,WR,Kaden,Kaden Saunders,Saunders,3.0999999046325684,1,4600,PSU@MICH,PSU,MICH,,,,,,WR/Super FLEX
81856-110650,WR,Darren,Darren Wilson Jr.,Wilson Jr.,2.4799999237060546,5,4500,ISU@TEX,ISU,TEX,,,,,,WR/Super FLEX
81856-155780,WR,Romello,Romello Brinson,Brinson,1.0333333015441895,3,4500,MIA@VT,MIA,VT,,,,,,WR/Super FLEX
81856-157858,TE,Michael,Michael Trigg,Trigg,3.7599998474121095,5,4500,AUB@MISS,MISS,AUB,O,Collarbone,,,,WR/Super FLEX
81856-151739,QB,Jason,Jason Brown,Brown,0.5,1,4500,MIA@VT,VT,MIA,,,,,,QB/Super FLEX
81856-158968,RB,Jonathon,Jonathon Brooks,Brooks,9.550000190734863,2,4500,ISU@TEX,TEX,ISU,,,,,,RB/Super FLEX
81856-137495,RB,Kentrel,Kentrel Bullock,Bullock,2.125,4,4500,AUB@MISS,MISS,AUB,,,,,,RB/Super FLEX
81856-129302,WR,Stephen,Stephen Gosnell,Gosnell,2.7750000953674316,4,4500,MIA@VT,VT,MIA,Q,Undisclosed,,,,WR/Super FLEX
81856-87334,TE,Patrick,Patrick McSweeney,McSweeney,0.8999999761581421,1,4500,ODU@CCU,CCU,ODU,,,,,,WR/Super FLEX
81856-133529,RB,Obie,Obie Sanni,Sanni,1.9666666984558105,3,4500,ODU@CCU,ODU,CCU,,,,,,RB/Super FLEX
81856-129555,RB,Donald,Donald Chaney Jr.,Chaney Jr.,5.650000095367432,2,4500,MIA@VT,MIA,VT,O,Knee,,,,RB/Super FLEX
81856-128550,RB,Nate,Nate Hope II,Hope II,5.150000095367432,2,4500,ODU@CCU,CCU,ODU,O,Undisclosed,,,,RB/Super FLEX
81856-128572,TE,Logan,Logan Mauldin,Mauldin,1.399999976158142,1,4500,ODU@CCU,CCU,ODU,,,,,,WR/Super FLEX
81856-154188,WR,Chris,Chris Rhone,Rhone,5.449999809265137,2,4500,ODU@CCU,CCU,ODU,,,,,,WR/Super FLEX
81856-85619,WR,Tarique,Tarique Milton,Milton,3.299999952316284,1,4500,ISU@TEX,TEX,ISU,,,,,,WR/Super FLEX
81856-135803,RB,Jared,Jared Casey,Casey,4.375,4,4500,KU@OU,KU,OU,,,,,,RB/Super FLEX
81856-135806,TE,Trevor,Trevor Kardell,Kardell,5,3,4500,KU@OU,KU,OU,,,,,,WR/Super FLEX
81856-94851,TE,Connor,Connor Blumrick,Blumrick,4.349999904632568,2,4500,MIA@VT,VT,MIA,,,,,,WR/Super FLEX
81856-166590,QB,Alex,Alex Orji,Orji,5.299999872843425,3,4500,PSU@MICH,MICH,PSU,,,,,,QB/Super FLEX
81856-152258,TE,Elijah,Elijah Arroyo,Arroyo,2.5,3,4500,MIA@VT,MIA,VT,O,Undisclosed,,,,WR/Super FLEX
81856-103146,QB,Zach,Zach Calzada,Calzada,12.600000554865057,11,4500,AUB@MISS,AUB,MISS,O,Shoulder,,,,QB/Super FLEX
81856-137990,TE,Tip,Tip Reiman,Reiman,4.233333269755046,3,4500,MINN@ILL,ILL,MINN,,,,,,WR/Super FLEX
81856-170769,WR,Camden,Camden Brown,Brown,5.050000190734863,2,4500,AUB@MISS,AUB,MISS,,,,,,WR/Super FLEX
81856-89888,WR,Aaron,Aaron Moore,Moore,1.399999976158142,1,4500,ODU@CCU,ODU,CCU,,,,,,WR/Super FLEX
81856-158511,TE,Max,Max Bredeson,Bredeson,3.133333206176758,3,4500,PSU@MICH,MICH,PSU,,,,,,WR/Super FLEX
81856-138029,RB,Isaiah,Isaiah Gash,Gash,3.424999952316284,4,4500,PSU@MICH,MICH,PSU,,,,,,RB/Super FLEX
81856-154469,RB,Matt,Matt Jones,Jones,6.300000190734863,1,4500,AUB@MISS,MISS,AUB,,,,,,RB/Super FLEX
81856-119716,WR,LV,LV Bunkley-Shelton,Bunkley-Shelton,0.5,4,4500,KU@OU,OU,KU,,,,,,WR/Super FLEX
81856-174029,WR,Ahmarian,Ahmarian Granger,Granger,1.0333333015441895,3,4500,ODU@CCU,ODU,CCU,,,,,,WR/Super FLEX
81856-155631,WR,Liam,Liam Clifford,Clifford,2.299999952316284,2,4500,PSU@MICH,PSU,MICH,,,,,,WR/Super FLEX
81856-103506,TE,Nick,Nick Kallerup,Kallerup,4.599999904632568,2,4400,MINN@ILL,MINN,ILL,,,,,,WR/Super FLEX
81856-137525,WR,Malick,Malick Meiga,Meiga,2.200000047683716,1,4400,PSU@MICH,PSU,MICH,,,,,,WR/Super FLEX
81856-152008,TE,Tyler,Tyler Moore,Moore,3.799999952316284,1,4400,ISU@TEX,ISU,TEX,,,,,,WR/Super FLEX
81856-174594,RB,Tawee,Tawee Walker,Walker,1.774999976158142,4,4400,KU@OU,OU,KU,,,,,,RB/Super FLEX
81856-140861,QB,Mason,Mason Stahl,Stahl,2.200000047683716,1,4400,PSU@MICH,PSU,MICH,,,,,,QB/Super FLEX
