"","player","player_id","position","team_name","player_game_count","attempts","completion_percent","completions","first_downs","franchise_id","interceptions","qb_rating","sacks","touchdowns","yards","ypa","week","year","dk_pts","fd_pts","string","team","head_coach","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"140","Zack Blair",33413,"QB","BALL ST",1,3,100,3,1,117,0,79.2,0,0,8,2.7,9,2017,0.32,0.32,2,"Ball State","Mike Neu",4,50,2,1,0,56.3,1,0,9,2.3,0.36,0.36
"141","Charlie Brewer",60344,"QB","BAYLOR",1,27,63,17,5,118,0,82.5,4,0,181,6.7,9,2017,7.24,7.24,1,"Baylor","Matt Rhule",10,52.2,5.5,5,0.5,75.25,1,1,75,7.15,6.5,6.5
"142","Zach Smith",25631,"QB","BAYLOR",1,11,36.4,4,2,118,1,8.5,0,0,37,3.4,9,2017,0.48,0.48,2,"Baylor","Matt Rhule",28.5,47.25,13.5,7.5,0.5,62.2,2,0,194,6.75,7.26,7.26
"143","Brett Rypien",46487,"QB","BOISE ST",1,27,70.4,19,13,120,0,137.9,2,3,260,9.6,9,2017,22.4,22.4,1,"Boise State","Bryan Harsin",19,65.8,12.5,5.5,0,87.2,0.5,0.5,98,5.15,5.92,5.92
"144","Montell Cozart",46563,"QB","BOISE ST",1,7,71.4,5,5,120,0,153.3,1,2,110,15.7,9,2017,12.4,12.4,2,"Boise State","Bryan Harsin",4.5,77.5,3.5,3,0,133.55,1.5,0.5,53,11.95,4.12,4.12
"145","Anthony Brown",40316,"QB","BOSTON COL",1,20,35,7,5,121,0,60.4,0,1,54,2.7,9,2017,6.16,6.16,1,"Boston College","Steve Addazio",20.5,54.3,12,10,0.5,100.35,1,2,187.5,8.7,15,15
"146","Jeff Smith",48055,"WR","BOSTON COL",1,1,100,1,1,121,0,158.3,0,1,34,34,9,2017,5.36,5.36,2,"Boston College","Steve Addazio",1,0,0,0,0,39.6,0,0,0,0,0,0
"147","Tanner Mangum",34607,"QB","BYU",1,34,52.9,18,16,128,1,98,0,3,283,8.3,9,2017,22.32,22.32,1,"BYU","Kalani Sitake",33.5,62.45,21,9.5,1,83.4,2,1.5,232,6.7,15.78,14.28
"148","Joe Critchlow",51996,"QB","BYU",1,4,75,3,2,128,0,100,0,0,34,8.5,9,2017,1.36,1.36,2,"BYU","Kalani Sitake",3,33.3,1,0,0,42.4,0,0,2,0.7,0.08,0.08
"149","Ross Bowers",38380,"QB","CAL",1,52,55.8,29,16,130,1,88.5,4,3,358,6.9,9,2017,28.32,25.32,1,"California","Justin Wilcox",43.5,57.25,25,16,1,79.45,2,1.5,280,6.45,17.7,16.2
"150","Kelly Bryant",34897,"QB","CLEMSON",1,33,66.7,22,9,140,0,104,0,2,207,6.3,9,2017,16.28,16.28,1,"Clemson","Dabo Swinney",18,66.7,12,6,0,84.5,0,0,116,6.4,4.64,4.64
"151","Tyler Keane",54513,"QB","COAST CAR",1,16,50,8,3,141,0,67.4,0,0,91,5.7,9,2017,3.64,3.64,1,"Coastal Carolina","Jamey Chadwell",21,60.05,12.5,9,0,103.2,1.5,1,215,9.45,14.1,12.6
"152","Kilton Anderson",27546,"QB","COAST CAR",1,11,45.5,5,5,141,0,61.9,1,0,58,5.3,9,2017,2.32,2.32,2,"Coastal Carolina","Jamey Chadwell",16,31.3,5,5,0,83.6,2,1,133,8.3,9.32,9.32
"153","Nick Stevens",46468,"QB","COLO STATE",1,31,54.8,17,15,144,3,65.9,1,2,269,8.7,9,2017,15.76,15.76,1,"Colorado State","Mike Bobo",35,60.9,21.5,15,0,117,0.5,3,306,8.65,25.74,24.24
"154","Steven Montez",46465,"QB","COLORADO",1,26,76.9,20,12,143,0,156.7,3,3,347,13.3,9,2017,28.88,25.88,1,"Colorado","Mike MacIntyre",18.5,44.55,9,5.5,0,73.9,2,1,94.5,4.3,7.78,7.78
"155","Sam Noyer",40048,"QB","COLORADO",1,1,100,1,0,143,0,91.7,0,0,6,6,9,2017,0.24,0.24,2,"Colorado","Mike MacIntyre",18,38.9,7,3,0,47,2,0,53,2.9,2.12,2.12
"156","Steven Williams",60511,"QB","DOMINION",1,36,58.3,21,10,263,2,48.5,1,0,181,5,9,2017,5.24,5.24,1,"Old Dominion","Bobby Wilder",27,59.6,16,9,2,47.75,1,0,149,5.55,3.96,3.96
"157","Daniel Jones",39395,"QB","DUKE",1,24,41.7,10,4,154,1,33.7,3,0,82,3.4,9,2017,2.28,2.28,1,"Duke","David Cutcliffe",34.5,53.5,18.5,11,0.5,79.15,1.5,1,238,6.9,13.02,13.02
"158","Brogan Roback",25079,"QB","E MICHIGAN",1,44,50,22,10,160,0,76.1,2,1,262,6,9,2017,14.48,14.48,1,"Eastern Michigan","Chris Creighton",35.5,67,23.5,14,1,101.3,0,2.5,268.5,7.75,21.24,19.74
"159","Jason Driskel",46547,"QB","FAU",1,24,41.7,10,3,165,1,49.5,0,1,93,3.9,9,2017,6.72,6.72,1,"Florida Atlantic","Lane Kiffin",35,68.6,24,16,0,119.8,0,2,349,10,24.96,21.96
"160","Alex McGough",46420,"QB","FIU",1,18,77.8,14,10,166,0,144.7,1,2,177,9.8,9,2017,15.08,15.08,1,"Florida International","Butch Davis",30,53.3,16,12,2,61.1,0,1,225,7.5,11,11
"161","Feleipe Franks",40217,"QB","FLORIDA",1,19,36.8,7,4,163,1,23.4,5,0,30,1.6,9,2017,0.2,0.2,1,"Florida","Jim McElwain",27,66.7,18,6,2,60,6,1,135,5,7.4,7.4
"162","Feleipe Franks",40217,"QB","FLORIDA",1,19,36.8,7,4,163,1,23.4,5,0,30,1.6,9,2017,0.2,0.2,1,"Florida","Randy Shannon",24.3333333333333,56.7333333333333,14.3333333333333,5.33333333333333,1.66666666666667,47.8,5.66666666666667,0.666666666666667,100,3.86666666666667,5,5
"163","Malik Zaire",46634,"QB","FLORIDA",1,6,50,3,3,163,0,68.8,0,0,36,6,9,2017,1.44,1.44,2,"Florida","Randy Shannon",6,50,3,3,0,68.8,0,0,36,6,1.44,1.44
"164","James Blackman",60382,"QB","FLORIDA ST",1,26,42.3,11,6,167,1,37.7,2,0,102,3.9,9,2017,3.08,3.08,1,"Florida State","Jimbo Fisher",24.5,71.4,17,11.5,2,81.35,2,1.5,222.5,9.15,12.9,12.9
"165","James Blackman",60382,"QB","FLORIDA ST",1,26,42.3,11,6,167,1,37.7,2,0,102,3.9,9,2017,3.08,3.08,1,"Florida State","Odell Haggins",25.75,60.55,15.25,10.5,1.75,70.275,2,1.25,198.75,7.775,11.2,11.2
"166","Cam Akers",57206,"HB","FLORIDA ST",1,1,100,1,1,167,0,118.8,0,0,47,47,9,2017,1.88,1.88,2,"Florida State","Odell Haggins",1,100,1,1,0,118.8,0,0,47,47,1.88,1.88
"167","Marcus McMaryion",29810,"QB","FRESNO ST",1,27,59.3,16,8,169,0,74.9,1,0,152,5.6,9,2017,6.08,6.08,1,"Fresno State","Jeff Tedford",19.5,59.5,11.5,7,0,120.45,0.5,1.5,237.5,12,15.5,15.5
